import time: self [us] | cumulative | imported package
import time:      6338 |      14488 |                     numpy.random.bit_generator
import time:      6032 |      20520 |                   numpy.random._bounded_integers
import time:      6272 |       6272 |                       numpy.random._pcg64
import time:      7663 |      13934 |                     numpy.random._generator
import time:      5906 |       5906 |                     numpy.random._mt19937
import time:      5893 |       5893 |                     numpy.random._philox
import time:      6219 |       6219 |                     numpy.random._sfc64
import time:      8208 |       8208 |                     numpy.random.mtrand
import time:       856 |      41013 |                   numpy.random._pickle
import time:      1073 |      62604 |                 numpy.random
import time:      6842 |      69445 |               pandas._typing
import time:       973 |        973 |               pandas.util._exceptions
import time:      3304 |      73722 |             pandas._config.config
import time:      1261 |       1261 |             pandas._config.dates
import time:       722 |        722 |             pandas._config.display
import time:       826 |      76529 |           pandas._config
import time:       750 |        750 |             pandas.core
import time:      6608 |       6608 |                   pandas._libs.pandas_parser
import time:      6213 |       6213 |                   pandas._libs.pandas_datetime
import time:      6565 |       6565 |                                 pandas._libs._cyutility
import time:      6268 |      12833 |                               pandas._libs.tslibs.ccalendar
import time:      7588 |       7588 |                               pandas._libs.tslibs.np_datetime
import time:      8367 |      28786 |                             pandas._libs.tslibs.dtypes
import time:      8163 |       8163 |                               pandas._libs.tslibs.base
import time:      9446 |       9446 |                                   pandas._libs.tslibs.nattype
import time:      1740 |       1740 |                                         zoneinfo._tzpath
import time:      1195 |       1195 |                                         zoneinfo._common
import time:      8818 |       8818 |                                         _zoneinfo
import time:      1443 |      13194 |                                       zoneinfo
import time:      8458 |       8458 |                                       zoneinfo._zoneinfo
import time:      1295 |       1295 |                                       pandas.compat._optional
import time:       171 |        171 |                                           six.moves
import time:      1781 |       1781 |                                           dateutil.tz._common
import time:      1094 |       1094 |                                           dateutil.tz._factories
import time:        89 |         89 |                                             six.moves.winreg
import time:      1167 |       1255 |                                           dateutil.tz.win
import time:      3311 |       7609 |                                         dateutil.tz.tz
import time:      1358 |       8967 |                                       dateutil.tz
import time:     10153 |      42066 |                                     pandas._libs.tslibs.timezones
import time:      9408 |       9408 |                                       pandas._libs.properties
import time:      1414 |      10821 |                                     pandas.util._decorators
import time:      3968 |       3968 |                                       _strptime
import time:      1212 |       1212 |                                       pandas._config.localization
import time:     10121 |      15300 |                                     pandas._libs.tslibs.fields
import time:     10833 |      79018 |                                   pandas._libs.tslibs.timedeltas
import time:      9197 |       9197 |                                   pandas._libs.tslibs.tzconversion
import time:     10362 |     108022 |                                 pandas._libs.tslibs.timestamps
import time:       880 |        880 |                                 dateutil.easter
import time:     13240 |     122141 |                               pandas._libs.tslibs.offsets
import time:     11076 |      11076 |                                   _decimal
import time:      1072 |      12147 |                                 decimal
import time:       854 |        854 |                                     dateutil._common
import time:      4253 |       5107 |                                   dateutil.parser._parser
import time:      1349 |       1349 |                                   dateutil.parser.isoparser
import time:      1155 |       7611 |                                 dateutil.parser
import time:     11190 |      11190 |                                 pandas._libs.tslibs.strptime
import time:     10406 |      41352 |                               pandas._libs.tslibs.parsing
import time:      8430 |     180084 |                             pandas._libs.tslibs.conversion
import time:     10948 |      10948 |                             pandas._libs.tslibs.period
import time:      9859 |       9859 |                             pandas._libs.tslibs.vectorized
import time:      1155 |     230830 |                           pandas._libs.tslibs
import time:        93 |     230923 |                         pandas._libs.tslibs.nattype
import time:     10067 |      10067 |                         pandas._libs.ops_dispatch
import time:      9074 |     250063 |                       pandas._libs.missing
import time:      8790 |     258852 |                     pandas._libs.hashtable
import time:     11520 |      11520 |                     pandas._libs.algos
import time:      7746 |     278116 |                   pandas._libs.interval
import time:       623 |     291558 |                 pandas._libs
import time:        69 |     291627 |               pandas._libs.tslibs
import time:      2527 |     294153 |             pandas.errors
import time:      3530 |     298432 |           pandas.core.config_init
import time:      1074 |       1074 |               pandas.core.dtypes
import time:     13310 |      13310 |               pandas._libs.lib
import time:      1956 |       1956 |                 pandas.core.dtypes.generic
import time:      2071 |       4027 |               pandas.core.dtypes.base
import time:      1063 |       1063 |               pandas.core.dtypes.inference
import time:      5570 |      25041 |             pandas.core.dtypes.dtypes
import time:      1937 |       1937 |               pandas.core.dtypes.common
import time:      2050 |       3987 |             pandas.core.dtypes.missing
import time:       802 |        802 |                   pandas.io
import time:      1932 |       2733 |                 pandas.io._util
import time:      2229 |       4962 |               pandas.core.dtypes.cast
import time:       944 |        944 |                 pandas.core.dtypes.astype
import time:      1288 |       2231 |               pandas.core.dtypes.concat
import time:       610 |        610 |                 pandas.core.array_algos
import time:     21890 |      21890 |                     numpy.ma.core
import time:      3605 |       3605 |                     numpy.ma.extras
import time:      1090 |      26583 |                   numpy.ma
import time:      1687 |       1687 |                     pandas.core.col
import time:      1984 |       3671 |                   pandas.core.common
import time:      1642 |      31896 |                 pandas.core.construction
import time:      1733 |      34238 |               pandas.core.array_algos.take
import time:      2132 |       2132 |                 pandas.core.indexers.utils
import time:      1129 |       3261 |               pandas.core.indexers
import time:      2086 |      46776 |             pandas.core.algorithms
import time:      1904 |       1904 |                 pandas.core.arrays.arrow.accessors
import time:      1746 |       1746 |                   pandas.core.missing
import time:     10523 |      10523 |                       pandas._libs.ops
import time:      1099 |       1099 |                       pandas.core.roperator
import time:       655 |        655 |                       pandas.core.computation
import time:      1271 |       1271 |                         pandas.core.computation.check
import time:      1433 |       2704 |                       pandas.core.computation.expressions
import time:       942 |        942 |                       pandas.core.ops.missing
import time:       505 |        505 |                       pandas.core.ops.dispatch
import time:       583 |        583 |                       pandas.core.ops.invalid
import time:      1787 |      18795 |                     pandas.core.ops.array_ops
import time:       868 |        868 |                     pandas.core.ops.common
import time:       918 |        918 |                     pandas.core.ops.docstrings
import time:       699 |        699 |                     pandas.core.ops.mask_ops
import time:       764 |      22042 |                   pandas.core.ops
import time:      1691 |       1691 |                   pandas.core.arraylike
import time:      3439 |       3439 |                   pandas.core.arrays._arrow_string_mixins
import time:      1225 |       1225 |                   pandas.core.arrays._utils
import time:       913 |        913 |                       pandas.util._validators
import time:      1470 |       2383 |                     pandas.compat.numpy.function
import time:       721 |        721 |                     pandas.core.array_algos.quantile
import time:      1442 |       1442 |                     pandas.core.sorting
import time:      2629 |       7175 |                   pandas.core.arrays.base
import time:      5230 |       5230 |                     pandas.core.nanops
import time:      1016 |       1016 |                     pandas.core.array_algos.masked_accumulations
import time:       914 |        914 |                     pandas.core.array_algos.masked_reductions
import time:       786 |        786 |                     pandas.core.array_algos.transforms
import time:       914 |        914 |                       pandas.core.util
import time:     11001 |      11001 |                       pandas._libs.hashing
import time:      1641 |      13555 |                     pandas.core.util.hashing
import time:      3754 |      25252 |                   pandas.core.arrays.masked
import time:     11590 |      11590 |                     pandas._libs.arrays
import time:      2123 |       2123 |                       pandas.core.arrays.numeric
import time:      1480 |       3603 |                     pandas.core.arrays.floating
import time:      1710 |       1710 |                     pandas.core.arrays.integer
import time:      1511 |       1511 |                       pandas.core.arrays._mixins
import time:      1037 |       1037 |                         pandas.core.strings
import time:      4932 |       5969 |                       pandas.core.strings.object_array
import time:      1710 |       9189 |                     pandas.core.arrays.numpy_
import time:      1184 |       1184 |                     pandas.io.formats
import time:      1074 |       1074 |                       pandas.io.formats.console
import time:      2155 |       3229 |                     pandas.io.formats.printing
import time:      2761 |      33263 |                   pandas.core.arrays.string_
import time:       999 |        999 |                     pandas.tseries
import time:      2225 |       3223 |                   pandas.tseries.frequencies
import time:      4450 |     103501 |                 pandas.core.arrays.arrow.array
import time:      1474 |     106878 |               pandas.core.arrays.arrow
import time:      1801 |       1801 |               pandas.core.arrays.boolean
import time:      2622 |       2622 |                 pandas.core.accessor
import time:      2142 |       2142 |                 pandas.core.base
import time:      3178 |       7941 |               pandas.core.arrays.categorical
import time:     12590 |      12590 |                 pandas._libs.tslib
import time:      1322 |       1322 |                   pandas.core.array_algos.datetimelike_accumulations
import time:     23895 |      25216 |                 pandas.core.arrays.datetimelike
import time:      1406 |       1406 |                 pandas.core.arrays._ranges
import time:      1466 |       1466 |                 pandas.tseries.offsets
import time:      3795 |      44471 |               pandas.core.arrays.datetimes
import time:      2770 |       2770 |                 pandas.core.arrays.timedeltas
import time:      2997 |       5767 |               pandas.core.arrays.interval
import time:      2877 |       2877 |               pandas.core.arrays.period
import time:     12717 |      12717 |                     pandas._libs.sparse
import time:      2593 |      15310 |                   pandas.core.arrays.sparse.array
import time:      1958 |      17267 |                 pandas.core.arrays.sparse.accessor
import time:      1033 |      18299 |               pandas.core.arrays.sparse
import time:      2180 |       2180 |               pandas.core.arrays.string_arrow
import time:      1245 |     191455 |             pandas.core.arrays
import time:      1208 |       1208 |             pandas.core.flags
import time:     11695 |      11695 |                   pandas._libs.internals
import time:      1242 |       1242 |                     pandas.core._numba
import time:       936 |        936 |                     pandas.core.util.numba_
import time:      1729 |       3906 |                   pandas.core._numba.executor
import time:      2730 |      18330 |                 pandas.core.apply
import time:      1489 |       1489 |                   pandas.errors.cow
import time:     11977 |      11977 |                       pandas._libs.indexing
import time:       851 |        851 |                         pandas.core.indexes
import time:     13805 |      13805 |                           pandas._libs.index
import time:     12590 |      12590 |                           pandas._libs.writers
import time:     13396 |      13396 |                           pandas._libs.join
import time:      1065 |       1065 |                           pandas.core.array_algos.putmask
import time:      1153 |       1153 |                           pandas.core.indexes.frozen
import time:      3040 |       3040 |                           pandas.core.strings.accessor
import time:      5945 |      50990 |                         pandas.core.indexes.base
import time:      1407 |       1407 |                           pandas.core.indexes.extension
import time:      2314 |       3721 |                         pandas.core.indexes.category
import time:      2754 |       2754 |                             pandas.core.indexes.range
import time:       705 |        705 |                               pandas.core.tools
import time:      1577 |       2282 |                             pandas.core.tools.timedeltas
import time:      2364 |       7399 |                           pandas.core.indexes.datetimelike
import time:       780 |        780 |                           pandas.core.tools.times
import time:      2787 |      10964 |                         pandas.core.indexes.datetimes
import time:      3505 |       3505 |                           pandas.core.indexes.multi
import time:      2491 |       2491 |                           pandas.core.indexes.timedeltas
import time:      2471 |       8466 |                         pandas.core.indexes.interval
import time:      2652 |       2652 |                         pandas.core.indexes.period
import time:      1739 |      79380 |                       pandas.core.indexes.api
import time:      4081 |      95437 |                     pandas.core.indexing
import time:       841 |        841 |                     pandas.core.sample
import time:       926 |        926 |                     pandas.core.array_algos.replace
import time:      2858 |       2858 |                         pandas.core.internals.blocks
import time:      1307 |       4164 |                       pandas.core.internals.api
import time:      1970 |       1970 |                           pandas.core.internals.ops
import time:      2900 |       4869 |                         pandas.core.internals.managers
import time:      1185 |       6054 |                       pandas.core.internals.concat
import time:      1195 |      11413 |                     pandas.core.internals
import time:       874 |        874 |                       pandas.core.methods
import time:       559 |        559 |                         pandas.core.reshape
import time:      1850 |       2408 |                       pandas.core.reshape.concat
import time:     12551 |      12551 |                           mmap
import time:      5052 |       5052 |                           tarfile
import time:      5890 |      23492 |                         pandas.io.common
import time:      3083 |      26574 |                       pandas.io.formats.format
import time:      1987 |      31842 |                     pandas.core.methods.describe
import time:      1163 |       1163 |                     pandas.core.shared_docs
import time:       720 |        720 |                           pandas._libs.window
import time:     16770 |      17490 |                         pandas._libs.window.aggregations
import time:     12403 |      12403 |                           pandas._libs.window.indexers
import time:      2336 |      14739 |                         pandas.core.indexers.objects
import time:      2138 |       2138 |                         pandas.core.window.common
import time:      1191 |       1191 |                         pandas.core.window.numba_
import time:      1120 |       1120 |                         pandas.core.window.online
import time:      3687 |       3687 |                         pandas.core.window.rolling
import time:      2734 |      43096 |                       pandas.core.window.ewm
import time:      1385 |       1385 |                       pandas.core.window.expanding
import time:      1250 |      45730 |                     pandas.core.window
import time:      5869 |     193217 |                   pandas.core.generic
import time:      2176 |       2176 |                   pandas.core.internals.construction
import time:      1454 |       1454 |                   pandas.core.methods.selectn
import time:      1502 |       1502 |                     pandas.core.tools.numeric
import time:      1947 |       3449 |                   pandas.core.reshape.melt
import time:     15625 |      15625 |                     pandas._libs.reshape
import time:      3859 |       3859 |                     pandas.core.indexes.accessors
import time:      1026 |       1026 |                       pandas.arrays
import time:      3341 |       4367 |                     pandas.core.tools.datetimes
import time:      5225 |       5225 |                     pandas.io.formats.info
import time:      1824 |       1824 |                       pandas.plotting._core
import time:      1592 |       1592 |                       pandas.plotting._misc
import time:      1379 |       4794 |                     pandas.plotting
import time:     11909 |      45777 |                   pandas.core.series
import time:     13284 |     260841 |                 pandas.core.frame
import time:      4320 |       4320 |                 pandas.core.groupby.base
import time:     17612 |      17612 |                   pandas._libs.groupby
import time:      1091 |       1091 |                   pandas.core.groupby.numba_
import time:       971 |        971 |                       pandas.core.groupby.categorical
import time:      1905 |       2876 |                     pandas.core.groupby.grouper
import time:      4097 |       6972 |                   pandas.core.groupby.ops
import time:      2314 |       2314 |                   pandas.core.groupby.indexing
import time:      5032 |      33020 |                 pandas.core.groupby.groupby
import time:      5370 |     321880 |               pandas.core.groupby.generic
import time:       977 |     322856 |             pandas.core.groupby
import time:      3111 |     594431 |           pandas.core.api
import time:       885 |        885 |           pandas.tseries.api
import time:       770 |        770 |                   pandas.core.computation.common
import time:      1196 |       1965 |                 pandas.core.computation.align
import time:      2011 |       2011 |                     pprint
import time:      1291 |       3301 |                   pandas.core.computation.scope
import time:      1773 |       5073 |                 pandas.core.computation.ops
import time:      2212 |       9249 |               pandas.core.computation.engines
import time:      1927 |       1927 |                 pandas.core.computation.parsing
import time:      6697 |       8624 |               pandas.core.computation.expr
import time:      2273 |      20144 |             pandas.core.computation.eval
import time:      1053 |      21197 |           pandas.core.computation.api
import time:      1343 |       1343 |             pandas.core.reshape.encoding
import time:     13479 |      13479 |                 _uuid
import time:      2346 |      15824 |               uuid
import time:      2761 |      18584 |             pandas.core.reshape.merge
import time:      2533 |       2533 |             pandas.core.reshape.pivot
import time:      1157 |       1157 |             pandas.core.reshape.tile
import time:      1247 |      24862 |           pandas.core.reshape.api
import time:      1189 |       1189 |             pandas.api.executors
import time:       530 |        530 |             pandas.api.extensions
import time:       727 |        727 |             pandas.api.indexers
import time:      1049 |       1049 |                 pandas.core.interchange
import time:      5495 |       6544 |               pandas.core.interchange.dataframe_protocol
import time:       992 |        992 |                 pandas.core.interchange.utils
import time:      1564 |       2555 |               pandas.core.interchange.from_dataframe
import time:       726 |       9824 |             pandas.api.interchange
import time:       706 |        706 |               pandas.core.dtypes.api
import time:       914 |       1620 |             pandas.api.types
import time:      2918 |       2918 |               pandas.core.resample
import time:     13010 |      13010 |                     pandas._libs.json
import time:      1508 |       1508 |                     pandas.io.json._normalize
import time:      1315 |       1315 |                     pandas.io.json._table_schema
import time:     13661 |      13661 |                           pandas._libs.parsers
import time:      2264 |       2264 |                             pandas.io.parsers.base_parser
import time:      2646 |       4909 |                           pandas.io.parsers.arrow_parser_wrapper
import time:      1457 |       1457 |                           pandas.io.parsers.c_parser_wrapper
import time:      2266 |       2266 |                           pandas.io.parsers.python_parser
import time:      3557 |      25848 |                         pandas.io.parsers.readers
import time:      1299 |      27147 |                       pandas.io.parsers
import time:        97 |      27244 |                     pandas.io.parsers.readers
import time:      3073 |      46148 |                   pandas.io.json._json
import time:      1078 |      47225 |                 pandas.io.json
import time:        75 |      47299 |               pandas.io.json._json
import time:      1174 |       1174 |                   pandas.io.sas.sasreader
import time:       880 |       2053 |                 pandas.io.sas
import time:        70 |       2123 |               pandas.io.sas.sasreader
import time:      4488 |       4488 |               pandas.io.stata
import time:      1148 |      57974 |             pandas.api.typing
import time:      1211 |      73072 |           pandas.api
import time:      1406 |       1406 |                 concurrent
import time:      2919 |       2919 |                 concurrent.futures._base
import time:     14638 |      14638 |                 _interpreters
import time:      1361 |      20323 |               concurrent.futures
import time:      1718 |       1718 |               concurrent.futures.thread
import time:      1148 |       1148 |               pandas._testing._io
import time:       875 |        875 |               pandas._testing._warnings
import time:     13286 |      13286 |                   cmath
import time:     14179 |      27465 |                 pandas._libs.testing
import time:      1674 |      29139 |               pandas._testing.asserters
import time:      1461 |       1461 |               pandas._testing.compat
import time:      1009 |       1009 |               pandas._testing.contexts
import time:      2151 |      57819 |             pandas._testing
import time:      1567 |      59386 |           pandas.testing
import time:       826 |        826 |           pandas.util._print_versions
import time:       769 |        769 |             pandas.io.clipboards
import time:      1061 |       1061 |                 pandas.io.excel._util
import time:      2056 |       2056 |                 pandas.io.excel._calamine
import time:      1472 |       1472 |                 pandas.io.excel._odfreader
import time:      1631 |       1631 |                 pandas.io.excel._openpyxl
import time:      1150 |       1150 |                 pandas.io.excel._pyxlsb
import time:      1465 |       1465 |                 pandas.io.excel._xlrd
import time:      3850 |      12683 |               pandas.io.excel._base
import time:      1127 |       1127 |               pandas.io.excel._odswriter
import time:      1037 |       1037 |               pandas.io.excel._xlsxwriter
import time:      1060 |      15905 |             pandas.io.excel
import time:       655 |        655 |             pandas.io.feather_format
import time:      2250 |       2250 |             pandas.io.html
import time:       836 |        836 |             pandas.io.iceberg
import time:      1224 |       1224 |             pandas.io.orc
import time:      2159 |       2159 |             pandas.io.parquet
import time:      1202 |       1202 |               pandas.compat.pickle_compat
import time:       861 |       2063 |             pandas.io.pickle
import time:      2408 |       2408 |               pandas.core.computation.pytables
import time:      7016 |       9424 |             pandas.io.pytables
import time:       813 |        813 |             pandas.io.spss
import time:      4548 |       4548 |             pandas.io.sql
import time:      1579 |       1579 |             pandas.io.xml
import time:      1195 |      43415 |           pandas.io.api
import time:       918 |        918 |           pandas.util._tester
import time:      1029 |       1029 |           pandas._version_meson
import time:      1794 |    1214942 |         pandas
import time:      1470 |       1470 |               openpyxl.compat.numbers
import time:       862 |        862 |               openpyxl.compat.strings
import time:      2198 |       4529 |             openpyxl.compat
import time:        93 |       4622 |           openpyxl.compat.numbers
import time:      1186 |       1186 |           openpyxl.xml
import time:      1800 |       1800 |                 openpyxl.worksheet
import time:       925 |        925 |                     openpyxl.utils.exceptions
import time:      4743 |       5667 |                   openpyxl.utils.cell
import time:      3829 |       3829 |                       openpyxl.formula.tokenizer
import time:      1829 |       5657 |                     openpyxl.formula
import time:      1490 |       7147 |                   openpyxl.utils.formulas
import time:       981 |      13795 |                 openpyxl.utils
import time:      4470 |       4470 |                             openpyxl.utils.datetime
import time:       681 |        681 |                             openpyxl.descriptors.namespace
import time:      2953 |       8104 |                           openpyxl.descriptors.base
import time:       840 |        840 |                               openpyxl.xml.constants
import time:      2302 |       3141 |                             openpyxl.xml.functions
import time:       841 |        841 |                             openpyxl.utils.indexed_list
import time:      2477 |       6458 |                           openpyxl.descriptors.sequence
import time:      1466 |      16027 |                         openpyxl.descriptors
import time:      1700 |       1700 |                         openpyxl.descriptors.serialisable
import time:      1611 |      19338 |                       openpyxl.styles.alignment
import time:      3094 |       3094 |                         openpyxl.styles.colors
import time:      1307 |       4401 |                       openpyxl.styles.borders
import time:      2838 |       2838 |                       openpyxl.styles.fills
import time:      1599 |       1599 |                         openpyxl.descriptors.nested
import time:      2138 |       3736 |                       openpyxl.styles.fonts
import time:      3709 |       3709 |                       openpyxl.styles.numbers
import time:      1664 |       1664 |                       openpyxl.styles.protection
import time:      1794 |       1794 |                         openpyxl.descriptors.excel
import time:      1370 |       1370 |                         openpyxl.styles.cell_style
import time:      2271 |       5434 |                       openpyxl.styles.named_styles
import time:      2593 |      43710 |                     openpyxl.styles
import time:      1240 |       1240 |                       openpyxl.styles.proxy
import time:     29335 |      29335 |                       openpyxl.styles.builtins
import time:      2322 |      32895 |                     openpyxl.styles.styleable
import time:      2740 |       2740 |                     openpyxl.worksheet.hyperlink
import time:      1223 |       1223 |                     openpyxl.worksheet.formula
import time:      1706 |       1706 |                       openpyxl.cell.text
import time:      1350 |       3056 |                     openpyxl.cell.rich_text
import time:      2818 |      86440 |                   openpyxl.cell.cell
import time:      1303 |       1303 |                   openpyxl.cell.read_only
import time:      1063 |      88805 |                 openpyxl.cell
import time:       964 |        964 |                       openpyxl.styles.differential
import time:      1971 |       2934 |                     openpyxl.formatting.rule
import time:       740 |       3674 |                   openpyxl.formatting
import time:      1168 |       1168 |                   openpyxl.worksheet.cell_range
import time:       942 |       5783 |                 openpyxl.formatting.formatting
import time:       582 |        582 |                   openpyxl.packaging
import time:      1481 |       1481 |                   openpyxl.descriptors.container
import time:      3308 |       5369 |                 openpyxl.packaging.relationship
import time:       636 |        636 |                     openpyxl.utils.escape
import time:      2644 |       3279 |                   openpyxl.worksheet.header_footer
import time:      1424 |       4703 |                 openpyxl.workbook.child
import time:      1624 |       1624 |                 openpyxl.workbook.defined_name
import time:      1677 |       1677 |                 openpyxl.formula.translate
import time:      1878 |       1878 |                 openpyxl.worksheet.datavalidation
import time:      2590 |       2590 |                 openpyxl.worksheet.page
import time:      1111 |       1111 |                   openpyxl.utils.units
import time:       669 |        669 |                   openpyxl.utils.bound_dictionary
import time:      4649 |       6428 |                 openpyxl.worksheet.dimensions
import time:       468 |        468 |                   openpyxl.utils.protection
import time:      4186 |       4654 |                 openpyxl.worksheet.protection
import time:      4872 |       4872 |                 openpyxl.worksheet.filters
import time:      3890 |       3890 |                 openpyxl.worksheet.views
import time:      1532 |       1532 |                 openpyxl.worksheet.merge
import time:      1248 |       1248 |                 openpyxl.worksheet.properties
import time:       985 |        985 |                 openpyxl.worksheet.pagebreak
import time:      2200 |       2200 |                 openpyxl.worksheet.scenario
import time:      1906 |       1906 |                   openpyxl.worksheet.related
import time:      3730 |       5636 |                 openpyxl.worksheet.table
import time:      6912 |       6912 |                 openpyxl.worksheet.print_settings
import time:      4966 |     171338 |               openpyxl.worksheet.worksheet
import time:      2745 |       2745 |                 openpyxl.worksheet._reader
import time:      1197 |       3942 |               openpyxl.worksheet._read_only
import time:      1083 |       1083 |                       openpyxl.comments.comments
import time:      1906 |       2989 |                     openpyxl.comments
import time:      1629 |       1629 |                     openpyxl.comments.author
import time:      1139 |       1139 |                     openpyxl.comments.shape_writer
import time:      6043 |      11798 |                   openpyxl.comments.comment_sheet
import time:      1411 |       1411 |                   openpyxl.cell._writer
import time:      1852 |      15061 |                 openpyxl.worksheet._writer
import time:      1675 |      16736 |               openpyxl.worksheet._write_only
import time:      1430 |       1430 |               openpyxl.worksheet.copier
import time:      1062 |       1062 |                 openpyxl.writer
import time:      2943 |       2943 |                     openpyxl.drawing.drawing
import time:       809 |       3752 |                   openpyxl.drawing
import time:      3724 |       3724 |                       PIL._version
import time:      1702 |       5426 |                     PIL
import time:     16881 |      16881 |                       PIL.ExifTags
import time:      3014 |       3014 |                       PIL.ImageMode
import time:      3484 |       3484 |                       PIL.TiffTags
import time:       807 |        807 |                       PIL._binary
import time:       616 |        616 |                       PIL._deprecate
import time:       676 |        676 |                       PIL._util
import time:     30460 |      30460 |                       PIL._imaging
import time:      8710 |      64643 |                     PIL.Image
import time:      1306 |      71375 |                   openpyxl.drawing.image
import time:      1490 |       1490 |                               openpyxl.chart.layout
import time:      2231 |       2231 |                               openpyxl.chart.picture
import time:      3222 |       3222 |                                 openpyxl.drawing.colors
import time:      6043 |       6043 |                                   openpyxl.drawing.effect
import time:      3573 |       9616 |                                 openpyxl.drawing.fill
import time:      4294 |       4294 |                                 openpyxl.drawing.line
import time:      4172 |       4172 |                                 openpyxl.drawing.geometry
import time:      2000 |      23302 |                               openpyxl.chart.shapes
import time:      5514 |       5514 |                                 openpyxl.drawing.text
import time:      3934 |       3934 |                                 openpyxl.chart.data_source
import time:      1858 |      11305 |                               openpyxl.chart.text
import time:      1837 |       1837 |                               openpyxl.chart.error_bar
import time:      1532 |      41694 |                             openpyxl.chart.marker
import time:      1234 |      42928 |                           openpyxl.chart._3d
import time:      1981 |       1981 |                           openpyxl.chart.legend
import time:      1360 |       1360 |                           openpyxl.chart.reference
import time:      2289 |       2289 |                               openpyxl.chart.label
import time:      1046 |       1046 |                               openpyxl.chart.trendline
import time:      1421 |       4755 |                             openpyxl.chart.series
import time:       758 |       5513 |                           openpyxl.chart.series_factory
import time:      1504 |       1504 |                           openpyxl.chart.title
import time:      1654 |      54938 |                         openpyxl.chart._chart
import time:      3185 |       3185 |                         openpyxl.chart.descriptors
import time:      2265 |       2265 |                         openpyxl.chart.axis
import time:      2385 |      62771 |                       openpyxl.chart.area_chart
import time:      1305 |       1305 |                       openpyxl.chart.bar_chart
import time:       724 |        724 |                       openpyxl.chart.bubble_chart
import time:       584 |        584 |                         openpyxl.chart.updown_bars
import time:      1068 |       1651 |                       openpyxl.chart.line_chart
import time:      1071 |       1071 |                       openpyxl.chart.pie_chart
import time:       651 |        651 |                       openpyxl.chart.radar_chart
import time:       644 |        644 |                       openpyxl.chart.scatter_chart
import time:       614 |        614 |                       openpyxl.chart.stock_chart
import time:       918 |        918 |                       openpyxl.chart.surface_chart
import time:      1587 |      71932 |                     openpyxl.chart
import time:        91 |      72023 |                   openpyxl.chart._chart
import time:       661 |        661 |                   openpyxl.drawing.xdr
import time:      3682 |       3682 |                     openpyxl.drawing.properties
import time:      1640 |       5321 |                   openpyxl.drawing.connector
import time:      1966 |       1966 |                     openpyxl.drawing.picture
import time:      1896 |       1896 |                     openpyxl.drawing.relation
import time:      2583 |       6444 |                   openpyxl.drawing.graphic
import time:      3754 |     163326 |                 openpyxl.drawing.spreadsheet_drawing
import time:     13929 |      13929 |                 openpyxl.packaging.manifest
import time:      1802 |       1802 |                   openpyxl.styles.table
import time:      2673 |       4475 |                 openpyxl.styles.stylesheet
import time:      2206 |       2206 |                   openpyxl.workbook.external_reference
import time:      1760 |       1760 |                     openpyxl.workbook.function_group
import time:      1172 |       1172 |                     openpyxl.workbook.properties
import time:      1346 |       1346 |                     openpyxl.workbook.protection
import time:      1667 |       1667 |                     openpyxl.workbook.smart_tags
import time:      1069 |       1069 |                     openpyxl.workbook.views
import time:      1587 |       1587 |                     openpyxl.workbook.web
import time:      3568 |      12166 |                   openpyxl.packaging.workbook
import time:      1921 |      16291 |                 openpyxl.workbook._writer
import time:      1463 |       1463 |                 openpyxl.writer.theme
import time:      2356 |     202899 |               openpyxl.writer.excel
import time:       751 |        751 |                   openpyxl.worksheet.drawing
import time:       944 |        944 |                   openpyxl.chartsheet.relation
import time:       686 |        686 |                   openpyxl.chartsheet.properties
import time:       611 |        611 |                   openpyxl.chartsheet.protection
import time:       623 |        623 |                   openpyxl.chartsheet.views
import time:       658 |        658 |                   openpyxl.chartsheet.custom
import time:      1860 |       1860 |                   openpyxl.chartsheet.publish
import time:      2919 |       9048 |                 openpyxl.chartsheet.chartsheet
import time:      1846 |      10894 |               openpyxl.chartsheet
import time:      1681 |       1681 |               openpyxl.packaging.core
import time:      2278 |       2278 |               openpyxl.packaging.custom
import time:      4268 |     415461 |             openpyxl.workbook.workbook
import time:      1472 |     416933 |           openpyxl.workbook
import time:       946 |        946 |             openpyxl.reader
import time:      1018 |       1018 |               openpyxl.pivot
import time:      1498 |       1498 |               openpyxl.pivot.fields
import time:      6463 |       8978 |             openpyxl.pivot.table
import time:       461 |        461 |             openpyxl.tests
import time:      1295 |       1295 |             openpyxl.reader.strings
import time:      3974 |       3974 |                   openpyxl.workbook.external_link.external
import time:       990 |       4963 |                 openpyxl.workbook.external_link
import time:       118 |       5081 |               openpyxl.workbook.external_link.external
import time:      3363 |       3363 |               openpyxl.pivot.cache
import time:       717 |        717 |               openpyxl.pivot.record
import time:      1457 |      10617 |             openpyxl.reader.workbook
import time:      1836 |       1836 |                 openpyxl.chart.plotarea
import time:       860 |        860 |                 openpyxl.chart.pivot
import time:      2145 |       2145 |                 openpyxl.chart.print_settings
import time:      6441 |      11279 |               openpyxl.chart.chartspace
import time:      1313 |       1313 |               openpyxl.chart.reader
import time:       797 |      13387 |             openpyxl.reader.drawings
import time:      4521 |      40203 |           openpyxl.reader.excel
import time:      1285 |       1285 |           openpyxl._constants
import time:      2625 |     466851 |         openpyxl
import time:      2792 |       2792 |           xlrd.timemachine
import time:      8327 |       8327 |           xlrd.biffh
import time:      2031 |       2031 |             xlrd.compdoc
