import time: self [us] | cumulative | imported package
import time:      2769 |       2769 |                   _blake2
import time:      1142 |       8359 |                 hashlib
import time:      2970 |       2970 |                   _hmac
import time:      1184 |       4153 |                 hmac
import time:     16376 |      16376 |                 urllib3.util.url
import time:      1226 |       1226 |                 urllib3.util.ssltransport
import time:      1464 |      31576 |               urllib3.util.ssl_
import time:      3484 |       3484 |                 select
import time:       880 |       4364 |               urllib3.util.wait
import time:      1011 |      54276 |             urllib3.util
import time:        92 |      54367 |           urllib3.util.connection
import time:      2566 |      56933 |         urllib3._base_connection
import time:      2650 |       2650 |         urllib3._collections
import time:       612 |        612 |         urllib3._version
import time:      3144 |       3144 |               _heapq
import time:       997 |       4140 |             heapq
import time:      2770 |       2770 |             _queue
import time:      1279 |       8189 |           queue
import time:       894 |        894 |               urllib3.fields
import time:       758 |       1651 |             urllib3.filepost
import time:       236 |        236 |               brotlicffi
import time:       189 |        189 |               brotli
import time:       799 |        799 |                 urllib3.http2
import time:       965 |        965 |                 urllib3.http2.probe
import time:       865 |        865 |                 urllib3.util.ssl_match_hostname
import time:      2974 |       5601 |               urllib3.connection
import time:      1991 |       8016 |             urllib3.response
import time:      1024 |      10691 |           urllib3._request_methods
import time:       584 |        584 |           urllib3.util.proxy
import time:      1608 |      21070 |         urllib3.connectionpool
import time:      2800 |       2800 |         urllib3.poolmanager
import time:      1866 |     150137 |       urllib3
import time:      3746 |       3746 |               ada92cb5d92a588d1b93__mypyc
import time:      4546 |       4546 |               charset_normalizer.constant
import time:      3276 |       3276 |                 unicodedata
import time:      1358 |       4633 |               charset_normalizer.utils
import time:      1257 |       1257 |               charset_normalizer.models
import time:      4695 |      18875 |             charset_normalizer.cd
import time:      3750 |       3750 |             _multibytecodec
import time:     21676 |      44299 |           charset_normalizer.api
import time:       767 |        767 |           charset_normalizer.legacy
import time:       531 |        531 |           charset_normalizer.version
import time:       244 |        244 |           simplejson
import time:      1349 |       1349 |               tempfile
import time:       864 |        864 |                 urllib.response
import time:       789 |       1652 |               urllib.error
import time:      4739 |       4739 |               _scproxy
import time:      6336 |      14075 |             urllib.request
import time:       224 |        224 |                 _locale
import time:      2339 |       2562 |               locale
import time:      3016 |       5577 |             calendar
import time:      6981 |      26633 |           http.cookiejar
import time:      4255 |       4255 |           http.cookies
import time:      1948 |      78674 |         requests.compat
import time:      2089 |      80763 |       requests.exceptions
import time:       360 |        360 |       chardet
import time:       885 |        885 |             idna.idnadata
import time:       557 |        557 |             idna.intranges
import time:      2526 |       3966 |           idna.core
import time:       606 |        606 |           idna.package_data
import time:      1015 |       5587 |         idna
import time:       998 |       6585 |       requests.packages
import time:      1132 |       1132 |                   importlib.resources.abc
import time:      1318 |       2449 |                 importlib.resources._common
import time:       655 |        655 |                 importlib.resources._functional
import time:       631 |       3734 |               importlib.resources
import time:       726 |       4459 |             certifi.core
import time:       594 |       5053 |           certifi
import time:       438 |       5490 |         requests.certs
import time:       866 |        866 |         requests.__version__
import time:      1245 |       1245 |         requests._internal_utils
import time:      1215 |       1215 |         requests._types
import time:      1405 |       1405 |         requests.cookies
import time:      1044 |       1044 |         requests.structures
import time:       903 |        903 |         importlib.resources._adapters
import time:       612 |        612 |             importlib.resources._itertools
import time:      1207 |       1819 |           importlib.resources.readers
import time:       550 |       2368 |         importlib.readers
import time:      2400 |      16931 |       requests.utils
import time:      1102 |       1102 |             requests.auth
import time:      1503 |       1503 |                 stringprep
import time:      1103 |       2605 |               encodings.idna
import time:       599 |        599 |               requests.hooks
import time:      1449 |       1449 |               requests.status_codes
import time:      2731 |       7383 |             requests.models
import time:       689 |        689 |               urllib3.contrib
import time:       294 |        294 |               socks
import time:      1087 |       2069 |             urllib3.contrib.socks
import time:      1233 |      11786 |           requests.adapters
import time:      1184 |      12970 |         requests.sessions
import time:       652 |      13622 |       requests.api
import time:      1601 |     269995 |     requests
import time:      3920 |       3920 |           dotenv.parser
import time:      1356 |       1356 |           dotenv.variables
import time:      1412 |       6686 |         dotenv.main
import time:       735 |       7421 |       dotenv
import time:      1117 |       1117 |           numpy.version
import time:       603 |        603 |           numpy._expired_attrs_2_0
import time:       855 |        855 |               numpy._utils._conversions
import time:       626 |       1480 |             numpy._utils
import time:      1121 |       2601 |           numpy._globals
import time:        95 |         95 |             numpy._distributor_init_local
import time:       697 |        791 |           numpy._distributor_init
import time:      2080 |       2080 |                     numpy.exceptions
import time:      1118 |       1118 |                     numpy._core._exceptions
import time:       799 |        799 |                       contextvars
import time:       664 |       1462 |                     numpy._core.printoptions
import time:       590 |        590 |                     numpy.dtypes
import time:     22506 |      27754 |                   numpy._core._multiarray_umath
import time:      1015 |       1015 |                     numpy._utils._inspect
import time:      1497 |       2511 |                   numpy._core.overrides
import time:      5207 |      35471 |                 numpy._core.multiarray
import time:      1789 |       1789 |                 numpy._core.umath
import time:      3407 |       3407 |                   numbers
import time:      1028 |       1028 |                   numpy._core._string_helpers
import time:      2018 |       2018 |                   numpy._core._type_aliases
import time:      3351 |       9804 |                 numpy._core.numerictypes
import time:      1693 |       1693 |                             _compat_pickle
import time:     17088 |      17088 |                             _pickle
import time:      7435 |      26215 |                           pickle
import time:      3218 |      29433 |                         numpy._core._methods
import time:      4496 |      33928 |                       numpy._core.fromnumeric
import time:      1843 |      35771 |                     numpy._core.shape_base
import time:      2496 |       2496 |                     numpy._core._ufunc_config
import time:      1454 |       1454 |                     numpy._core._asarray
import time:      7457 |       7457 |                     numpy._core.arrayprint
import time:      4453 |      51628 |                   numpy._core.numeric
